timestamp,battery_soc,pv_flow,grid_flow,total_load,battery_in_flow,battery_out_flow
2024-01-01 00:00:00,484.83118263157894,0.04845200000000105,0.0,24.97258233333333,0.0,24.92413033333333
2024-01-01 00:15:00,478.27220096491226,0.143257333333338,0.0,77.47246233333333,0.0,77.32920499999999
2024-01-01 00:30:00,457.92241017543864,0.1410413333333338,0.0,85.62506066666667,0.0,85.48401933333334
2024-01-01 00:45:00,435.42661561403514,0.1410186666666675,0.0,80.63205066666666,0.0,80.49103199999999
2024-01-01 01:00:00,414.2447650877194,0.1418123333333341,0.0,74.08030933333333,0.0,73.938497
2024-01-01 01:15:00,394.7872658771931,0.1425836666666669,0.0,82.04741866666667,0.0,81.904835
2024-01-01 01:30:00,373.2333619298247,0.14181733333333568,0.0,82.00243266666666,0.0,81.86061533333333
2024-01-01 01:45:00,351.6910947368423,0.1413519999999977,0.0,81.77339333333333,0.0,81.63204133333333
2024-01-01 02:00:00,330.2089785964914,0.14352833333333592,0.0,80.14466866666667,0.0,80.00114033333334
2024-01-01 02:15:00,309.15604692982475,0.14365899999999954,0.0,73.87392333333331,0.0,73.73026433333331
2024-01-01 02:30:00,289.7533457894739,0.14438099999998144,0.0,81.80700066666667,0.0,81.66261966666669
2024-01-01 02:45:00,268.26318271929847,0.14238899999998011,0.0,81.96973266666666,0.0,81.82734366666668
2024-01-01 03:00:00,246.72967122807037,0.14116666666666333,0.0,76.67994466666666,0.0,76.538778
2024-01-01 03:15:00,226.58788754385984,0.14114800000000116,0.0,80.82481133333334,0.0,80.68366333333334
2024-01-01 03:30:00,205.3553445614037,0.1416456666666619,0.0,74.23367733333333,0.0,74.09203166666667
2024-01-01 03:45:00,185.85744149122826,0.14144766666666442,0.0,79.41203999999999,0.0,79.27059233333333
2024-01-01 04:00:00,164.99675929824582,0.14057933333333494,0.0,81.42649566666665,0.0,81.28591633333332
2024-01-01 04:15:00,143.60572868421073,0.14221799999999973,0.0,72.98120366666667,0.0,72.83898566666667
2024-01-01 04:30:00,124.43757456140374,0.14277633333333029,0.0,81.87509766666666,0.0,81.73232133333333
2024-01-01 04:45:00,102.92906894736865,0.1426663333333238,0.0,84.49315766666666,0.0,84.35049133333334
2024-01-01 05:00:00,80.7315712280704,0.1442869999999914,0.0,81.34476466666666,0.0,81.20047766666667
2024-01-01 05:15:00,59.36302447368444,0.14535300000000007,0.0,74.30882866666666,0.0,74.16347566666666
2024-01-01 05:30:00,39.84632035087743,0.14519499999998686,0.0,80.48485766666667,0.0,80.33966266666668
2024-01-01 05:45:00,18.704303859649354,0.14472766666666814,8.02240199999914,79.24348433333334,0.0,71.07635466666754
2024-01-01 06:00:00,0.0,0.14478766666667298,73.05935366666665,73.20414133333333,0.0,0.0
2024-01-01 06:15:00,0.0,0.14546366666667154,85.34908833333334,85.49455200000001,0.0,0.0
2024-01-01 06:30:00,0.0,0.14509966666666685,90.99452033333333,91.13962,0.0,0.0
2024-01-01 06:45:00,0.0,0.144409666666661,90.96316233333334,91.107572,0.0,0.0
2024-01-01 07:00:00,0.0,0.14404700000000048,83.74197466666665,83.88602166666665,0.0,0.0
2024-01-01 07:15:00,0.0,0.14384099999999478,89.251188,89.395029,0.0,0.0
2024-01-01 07:30:00,0.0,0.1441466666666571,83.29453166666666,83.43867833333331,0.0,0.0
2024-01-01 07:45:00,0.0,0.14420599999998274,90.31113766666667,90.45534366666665,0.0,0.0
2024-01-01 08:00:00,0.0,0.1427410000000009,81.22718866666666,81.36992966666666,0.0,0.0
2024-01-01 08:15:00,0.0,0.14226833333333389,88.25594866666667,88.398217,0.0,0.0
2024-01-01 08:30:00,0.0,0.1432846666666734,82.62190966666667,82.76519433333334,0.0,0.0
2024-01-01 08:45:00,0.0,0.14405600000000618,87.50013233333333,87.64418833333333,0.0,0.0
2024-01-01 09:00:00,0.0,0.14490600000000597,85.74057766666664,85.88548366666664,0.0,0.0
2024-01-01 09:15:00,0.0,0.14732333333333258,77.22937233333333,77.37669566666666,0.0,0.0
2024-01-01 09:30:00,0.0,0.147980000000004,86.91228633333331,87.06026633333332,0.0,0.0
2024-01-01 09:45:00,0.0,0.14743933333332393,85.11859633333333,85.26603566666665,0.0,0.0
2024-01-01 10:00:00,0.0,0.14786833333333504,75.76103799999999,75.90890633333332,0.0,0.0
2024-01-01 10:15:00,0.0,0.14805699999998012,84.06132733333337,84.20938433333335,0.0,0.0
2024-01-01 10:30:00,0.0,0.1500293333333218,86.91941800000001,87.06944733333333,0.0,0.0
2024-01-01 10:45:00,0.0,0.14896733333333145,87.30055399999999,87.44952133333332,0.0,0.0
2024-01-01 11:00:00,0.0,0.14796366666666927,76.95079033333332,77.09875399999999,0.0,0.0
2024-01-01 11:15:00,0.0,0.14707499999998674,84.48673500000001,84.63381,0.0,0.0
2024-01-01 11:30:00,0.0,0.14625233333333654,84.08370766666667,84.22996,0.0,0.0
2024-01-01 11:45:00,0.0,0.1471343333333266,77.46098833333335,77.60812266666667,0.0,0.0
2024-01-01 12:00:00,0.0,0.1471466666666572,84.48225800000002,84.62940466666667,0.0,0.0
2024-01-01 12:15:00,0.0,0.1464206666666712,76.35612066666665,76.50254133333333,0.0,0.0
2024-01-01 12:30:00,0.0,0.14601199999999892,87.35287066666667,87.49888266666667,0.0,0.0
2024-01-01 12:45:00,0.0,0.14509199999999112,80.91893800000003,81.06403000000002,0.0,0.0
2024-01-01 13:00:00,0.0,0.14431166666666684,80.32156433333334,80.46587600000001,0.0,0.0
2024-01-01 13:15:00,0.0,0.1439976666666496,81.40496900000002,81.54896666666667,0.0,0.0
2024-01-01 13:30:00,0.0,0.1421189999999939,79.35003833333336,79.49215733333335,0.0,0.0
2024-01-01 13:45:00,0.0,0.14243299999999692,76.09635899999999,76.23879199999999,0.0,0.0
2024-01-01 14:00:00,0.0,0.14191533333332984,75.94172333333333,76.08363866666666,0.0,0.0
2024-01-01 14:15:00,0.0,0.14132866666666644,75.35573133333332,75.49705999999999,0.0,0.0
2024-01-01 14:30:00,0.0,0.14180700000000002,74.94122799999998,75.08303499999998,0.0,0.0
2024-01-01 14:45:00,0.0,0.142201666666665,75.024346,75.16654766666666,0.0,0.0
