"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"08/01/2014 21:00:00 - 08/01/2014 22:00:00","BZN|CH","Without Sequence","60.07","",""
"08/01/2014 22:00:00 - 08/01/2014 23:00:00","BZN|CH","Without Sequence","58.58","",""
"08/01/2014 23:00:00 - 09/01/2014 00:00:00","BZN|CH","Without Sequence","55.09","",""
"02/12/2014 00:00:00 - 02/12/2014 01:00:00","BZN|CH","Without Sequence","48.08","",""
"02/12/2014 01:00:00 - 02/12/2014 02:00:00","BZN|CH","Without Sequence","41.63","",""
"02/12/2014 02:00:00 - 02/12/2014 03:00:00","BZN|CH","Without Sequence","40.00","",""
"02/12/2014 03:00:00 - 02/12/2014 04:00:00","BZN|CH","Without Sequence","37.28","",""
"02/12/2014 04:00:00 - 02/12/2014 05:00:00","BZN|CH","Without Sequence","36.58","",""
"02/12/2014 05:00:00 - 02/12/2014 06:00:00","BZN|CH","Without Sequence","41.62","",""
"02/12/2014 06:00:00 - 02/12/2014 07:00:00","BZN|CH","Without Sequence","48.95","",""
"02/12/2014 07:00:00 - 02/12/2014 08:00:00","BZN|CH","Without Sequence","58.56","",""
"02/12/2014 08:00:00 - 02/12/2014 09:00:00","BZN|CH","Without Sequence","61.40","",""
"02/12/2014 09:00:00 - 02/12/2014 10:00:00","BZN|CH","Without Sequence","62.17","",""
"02/12/2014 10:00:00 - 02/12/2014 11:00:00","BZN|CH","Without Sequence","61.93","",""
"02/12/2014 11:00:00 - 02/12/2014 12:00:00","BZN|CH","Without Sequence","62.12","",""
"02/12/2014 12:00:00 - 02/12/2014 13:00:00","BZN|CH","Without Sequence","60.61","",""
"02/12/2014 13:00:00 - 02/12/2014 14:00:00","BZN|CH","Without Sequence","61.09","",""
"02/12/2014 14:00:00 - 02/12/2014 15:00:00","BZN|CH","Without Sequence","61.34","",""
"02/12/2014 15:00:00 - 02/12/2014 16:00:00","BZN|CH","Without Sequence","61.86","",""
"02/12/2014 16:00:00 - 02/12/2014 17:00:00","BZN|CH","Without Sequence","62.46","",""
"02/12/2014 17:00:00 - 02/12/2014 18:00:00","BZN|CH","Without Sequence","76.07","",""
"02/12/2014 18:00:00 - 02/12/2014 19:00:00","BZN|CH","Without Sequence","74.59","",""
"02/12/2014 19:00:00 - 02/12/2014 20:00:00","BZN|CH","Without Sequence","64.80","",""
"02/12/2014 20:00:00 - 02/12/2014 21:00:00","BZN|CH","Without Sequence","55.94","",""
"02/12/2014 21:00:00 - 02/12/2014 22:00:00","BZN|CH","Without Sequence","50.04","",""
"02/12/2014 22:00:00 - 02/12/2014 23:00:00","BZN|CH","Without Sequence","52.96","",""
"02/12/2014 23:00:00 - 03/12/2014 00:00:00","BZN|CH","Without Sequence","50.08","",""
"23/12/2014 00:00:00 - 23/12/2014 01:00:00","BZN|CH","Without Sequence","21.64","",""
"23/12/2014 01:00:00 - 23/12/2014 02:00:00","BZN|CH","Without Sequence","18.40","",""
"23/12/2014 02:00:00 - 23/12/2014 03:00:00","BZN|CH","Without Sequence","13.12","",""
"23/12/2014 03:00:00 - 23/12/2014 04:00:00","BZN|CH","Without Sequence","8.69","",""
"23/12/2014 04:00:00 - 23/12/2014 05:00:00","BZN|CH","Without Sequence","8.53","",""
"23/12/2014 05:00:00 - 23/12/2014 06:00:00","BZN|CH","Without Sequence","15.89","",""
"23/12/2014 06:00:00 - 23/12/2014 07:00:00","BZN|CH","Without Sequence","22.15","",""
"23/12/2014 07:00:00 - 23/12/2014 08:00:00","BZN|CH","Without Sequence","33.30","",""
"23/12/2014 08:00:00 - 23/12/2014 09:00:00","BZN|CH","Without Sequence","35.16","",""
"23/12/2014 09:00:00 - 23/12/2014 10:00:00","BZN|CH","Without Sequence","34.92","",""
"23/12/2014 10:00:00 - 23/12/2014 11:00:00","BZN|CH","Without Sequence","34.76","",""
"23/12/2014 11:00:00 - 23/12/2014 12:00:00","BZN|CH","Without Sequence","33.97","",""
"23/12/2014 12:00:00 - 23/12/2014 13:00:00","BZN|CH","Without Sequence","34.07","",""
"23/12/2014 13:00:00 - 23/12/2014 14:00:00","BZN|CH","Without Sequence","32.20","",""
"23/12/2014 14:00:00 - 23/12/2014 15:00:00","BZN|CH","Without Sequence","31.40","",""
"23/12/2014 15:00:00 - 23/12/2014 16:00:00","BZN|CH","Without Sequence","27.31","",""
"23/12/2014 16:00:00 - 23/12/2014 17:00:00","BZN|CH","Without Sequence","28.30","",""
"23/12/2014 17:00:00 - 23/12/2014 18:00:00","BZN|CH","Without Sequence","36.61","",""
"23/12/2014 18:00:00 - 23/12/2014 19:00:00","BZN|CH","Without Sequence","40.09","",""
"23/12/2014 19:00:00 - 23/12/2014 20:00:00","BZN|CH","Without Sequence","37.06","",""
"23/12/2014 20:00:00 - 23/12/2014 21:00:00","BZN|CH","Without Sequence","34.04","",""
"23/12/2014 21:00:00 - 23/12/2014 22:00:00","BZN|CH","Without Sequence","28.16","",""
"23/12/2014 22:00:00 - 23/12/2014 23:00:00","BZN|CH","Without Sequence","26.78","",""
"23/12/2014 23:00:00 - 24/12/2014 00:00:00","BZN|CH","Without Sequence","26.85","",""
