"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"08/01/2014 00:00:00 - 08/01/2014 01:00:00","BZN|CH","Without Sequence","57.98","",""
"08/01/2014 01:00:00 - 08/01/2014 02:00:00","BZN|CH","Without Sequence","57.38","",""
"08/01/2014 02:00:00 - 08/01/2014 03:00:00","BZN|CH","Without Sequence","55.51","",""
"08/01/2014 03:00:00 - 08/01/2014 04:00:00","BZN|CH","Without Sequence","50.14","",""
"08/01/2014 04:00:00 - 08/01/2014 05:00:00","BZN|CH","Without Sequence","53.42","",""
"08/01/2014 05:00:00 - 08/01/2014 06:00:00","BZN|CH","Without Sequence","56.95","",""
"08/01/2014 06:00:00 - 08/01/2014 07:00:00","BZN|CH","Without Sequence","60.50","",""
"08/01/2014 07:00:00 - 08/01/2014 08:00:00","BZN|CH","Without Sequence","62.95","",""
"08/01/2014 08:00:00 - 08/01/2014 09:00:00","BZN|CH","Without Sequence","62.93","",""
"08/01/2014 09:00:00 - 08/01/2014 10:00:00","BZN|CH","Without Sequence","62.39","",""
"08/01/2014 10:00:00 - 08/01/2014 11:00:00","BZN|CH","Without Sequence","62.11","",""
"08/01/2014 11:00:00 - 08/01/2014 12:00:00","BZN|CH","Without Sequence","62.16","",""
"08/01/2014 12:00:00 - 08/01/2014 13:00:00","BZN|CH","Without Sequence","60.59","",""
"08/01/2014 13:00:00 - 08/01/2014 14:00:00","BZN|CH","Without Sequence","60.92","",""
"08/01/2014 14:00:00 - 08/01/2014 15:00:00","BZN|CH","Without Sequence","62.02","",""
"08/01/2014 15:00:00 - 08/01/2014 16:00:00","BZN|CH","Without Sequence","62.00","",""
"08/01/2014 16:00:00 - 08/01/2014 17:00:00","BZN|CH","Without Sequence","62.01","",""
"08/01/2014 17:00:00 - 08/01/2014 18:00:00","BZN|CH","Without Sequence","62.03","",""
"08/01/2014 18:00:00 - 08/01/2014 19:00:00","BZN|CH","Without Sequence","62.02","",""
"08/01/2014 19:00:00 - 08/01/2014 20:00:00","BZN|CH","Without Sequence","60.92","",""
"08/01/2014 20:00:00 - 08/01/2014 21:00:00","BZN|CH","Without Sequence","60.97","",""
