"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"03/01/2015 06:00:00 - 03/01/2015 07:00:00","BZN|CH","Without Sequence","26.75","",""
"03/01/2015 07:00:00 - 03/01/2015 08:00:00","BZN|CH","Without Sequence","30.84","",""
"03/01/2015 08:00:00 - 03/01/2015 09:00:00","BZN|CH","Without Sequence","35.78","",""
"03/01/2015 09:00:00 - 03/01/2015 10:00:00","BZN|CH","Without Sequence","37.20","",""
"03/01/2015 10:00:00 - 03/01/2015 11:00:00","BZN|CH","Without Sequence","36.44","",""
"03/01/2015 11:00:00 - 03/01/2015 12:00:00","BZN|CH","Without Sequence","36.74","",""
"03/01/2015 12:00:00 - 03/01/2015 13:00:00","BZN|CH","Without Sequence","37.07","",""
"03/01/2015 13:00:00 - 03/01/2015 14:00:00","BZN|CH","Without Sequence","37.00","",""
"03/01/2015 14:00:00 - 03/01/2015 15:00:00","BZN|CH","Without Sequence","33.76","",""
"03/01/2015 15:00:00 - 03/01/2015 16:00:00","BZN|CH","Without Sequence","31.07","",""
"03/01/2015 16:00:00 - 03/01/2015 17:00:00","BZN|CH","Without Sequence","31.48","",""
"03/01/2015 17:00:00 - 03/01/2015 18:00:00","BZN|CH","Without Sequence","40.09","",""
"03/01/2015 18:00:00 - 03/01/2015 19:00:00","BZN|CH","Without Sequence","46.36","",""
"03/01/2015 19:00:00 - 03/01/2015 20:00:00","BZN|CH","Without Sequence","48.95","",""
"03/01/2015 20:00:00 - 03/01/2015 21:00:00","BZN|CH","Without Sequence","48.04","",""
"03/01/2015 21:00:00 - 03/01/2015 22:00:00","BZN|CH","Without Sequence","46.00","",""
"03/01/2015 22:00:00 - 03/01/2015 23:00:00","BZN|CH","Without Sequence","43.66","",""
"03/01/2015 23:00:00 - 04/01/2015 00:00:00","BZN|CH","Without Sequence","37.48","",""
"04/01/2015 00:00:00 - 04/01/2015 01:00:00","BZN|CH","Without Sequence","36.41","",""
"04/01/2015 01:00:00 - 04/01/2015 02:00:00","BZN|CH","Without Sequence","31.46","",""
"04/01/2015 02:00:00 - 04/01/2015 03:00:00","BZN|CH","Without Sequence","24.97","",""
"04/01/2015 03:00:00 - 04/01/2015 04:00:00","BZN|CH","Without Sequence","14.42","",""
"04/01/2015 04:00:00 - 04/01/2015 05:00:00","BZN|CH","Without Sequence","11.03","",""
"04/01/2015 05:00:00 - 04/01/2015 06:00:00","BZN|CH","Without Sequence","13.77","",""
"04/01/2015 06:00:00 - 04/01/2015 07:00:00","BZN|CH","Without Sequence","16.44","",""
