"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"21/04/2015 05:00:00 - 21/04/2015 06:00:00","BZN|CH","Without Sequence","31.64","",""
"21/04/2015 06:00:00 - 21/04/2015 07:00:00","BZN|CH","Without Sequence","42.68","",""
"21/04/2015 07:00:00 - 21/04/2015 08:00:00","BZN|CH","Without Sequence","46.93","",""
"21/04/2015 08:00:00 - 21/04/2015 09:00:00","BZN|CH","Without Sequence","52.09","",""
"21/04/2015 09:00:00 - 21/04/2015 10:00:00","BZN|CH","Without Sequence","50.96","",""
"21/04/2015 10:00:00 - 21/04/2015 11:00:00","BZN|CH","Without Sequence","47.09","",""
"21/04/2015 11:00:00 - 21/04/2015 12:00:00","BZN|CH","Without Sequence","46.95","",""
"21/04/2015 12:00:00 - 21/04/2015 13:00:00","BZN|CH","Without Sequence","44.37","",""
"21/04/2015 13:00:00 - 21/04/2015 14:00:00","BZN|CH","Without Sequence","42.58","",""
"21/04/2015 14:00:00 - 21/04/2015 15:00:00","BZN|CH","Without Sequence","42.08","",""
"21/04/2015 15:00:00 - 21/04/2015 16:00:00","BZN|CH","Without Sequence","39.46","",""
"21/04/2015 16:00:00 - 21/04/2015 17:00:00","BZN|CH","Without Sequence","39.06","",""
"21/04/2015 17:00:00 - 21/04/2015 18:00:00","BZN|CH","Without Sequence","37.04","",""
"21/04/2015 18:00:00 - 21/04/2015 19:00:00","BZN|CH","Without Sequence","39.12","",""
"21/04/2015 19:00:00 - 21/04/2015 20:00:00","BZN|CH","Without Sequence","42.94","",""
"21/04/2015 20:00:00 - 21/04/2015 21:00:00","BZN|CH","Without Sequence","42.81","",""
"21/04/2015 21:00:00 - 21/04/2015 22:00:00","BZN|CH","Without Sequence","41.05","",""
"21/04/2015 22:00:00 - 21/04/2015 23:00:00","BZN|CH","Without Sequence","41.23","",""
"21/04/2015 23:00:00 - 22/04/2015 00:00:00","BZN|CH","Without Sequence","38.96","",""
"22/04/2015 00:00:00 - 22/04/2015 01:00:00","BZN|CH","Without Sequence","36.01","",""
"22/04/2015 01:00:00 - 22/04/2015 02:00:00","BZN|CH","Without Sequence","30.17","",""
"22/04/2015 02:00:00 - 22/04/2015 03:00:00","BZN|CH","Without Sequence","27.50","",""
"22/04/2015 03:00:00 - 22/04/2015 04:00:00","BZN|CH","Without Sequence","25.02","",""
"22/04/2015 04:00:00 - 22/04/2015 05:00:00","BZN|CH","Without Sequence","25.13","",""
"22/04/2015 05:00:00 - 22/04/2015 06:00:00","BZN|CH","Without Sequence","29.51","",""
"22/04/2015 06:00:00 - 22/04/2015 07:00:00","BZN|CH","Without Sequence","41.11","",""
"22/04/2015 07:00:00 - 22/04/2015 08:00:00","BZN|CH","Without Sequence","47.57","",""
"22/04/2015 08:00:00 - 22/04/2015 09:00:00","BZN|CH","Without Sequence","50.58","",""
"22/04/2015 09:00:00 - 22/04/2015 10:00:00","BZN|CH","Without Sequence","48.08","",""
"22/04/2015 10:00:00 - 22/04/2015 11:00:00","BZN|CH","Without Sequence","44.72","",""
"22/04/2015 11:00:00 - 22/04/2015 12:00:00","BZN|CH","Without Sequence","44.91","",""
"22/04/2015 12:00:00 - 22/04/2015 13:00:00","BZN|CH","Without Sequence","42.25","",""
"22/04/2015 13:00:00 - 22/04/2015 14:00:00","BZN|CH","Without Sequence","41.76","",""
"22/04/2015 14:00:00 - 22/04/2015 15:00:00","BZN|CH","Without Sequence","40.92","",""
"22/04/2015 15:00:00 - 22/04/2015 16:00:00","BZN|CH","Without Sequence","38.40","",""
"22/04/2015 16:00:00 - 22/04/2015 17:00:00","BZN|CH","Without Sequence","37.74","",""
"22/04/2015 17:00:00 - 22/04/2015 18:00:00","BZN|CH","Without Sequence","38.90","",""
"22/04/2015 18:00:00 - 22/04/2015 19:00:00","BZN|CH","Without Sequence","43.22","",""
"22/04/2015 19:00:00 - 22/04/2015 20:00:00","BZN|CH","Without Sequence","47.55","",""
"22/04/2015 20:00:00 - 22/04/2015 21:00:00","BZN|CH","Without Sequence","47.98","",""
"22/04/2015 21:00:00 - 22/04/2015 22:00:00","BZN|CH","Without Sequence","46.07","",""
"22/04/2015 22:00:00 - 22/04/2015 23:00:00","BZN|CH","Without Sequence","42.86","",""
"22/04/2015 23:00:00 - 23/04/2015 00:00:00","BZN|CH","Without Sequence","40.07","",""
"23/04/2015 00:00:00 - 23/04/2015 01:00:00","BZN|CH","Without Sequence","35.80","",""
"23/04/2015 01:00:00 - 23/04/2015 02:00:00","BZN|CH","Without Sequence","32.12","",""
"23/04/2015 02:00:00 - 23/04/2015 03:00:00","BZN|CH","Without Sequence","28.74","",""
"23/04/2015 03:00:00 - 23/04/2015 04:00:00","BZN|CH","Without Sequence","27.15","",""
"23/04/2015 04:00:00 - 23/04/2015 05:00:00","BZN|CH","Without Sequence","27.63","",""
"23/04/2015 05:00:00 - 23/04/2015 06:00:00","BZN|CH","Without Sequence","31.75","",""
"23/04/2015 06:00:00 - 23/04/2015 07:00:00","BZN|CH","Without Sequence","40.98","",""
"23/04/2015 07:00:00 - 23/04/2015 08:00:00","BZN|CH","Without Sequence","47.55","",""
"23/04/2015 08:00:00 - 23/04/2015 09:00:00","BZN|CH","Without Sequence","50.74","",""
"23/04/2015 09:00:00 - 23/04/2015 10:00:00","BZN|CH","Without Sequence","43.98","",""
"23/04/2015 10:00:00 - 23/04/2015 11:00:00","BZN|CH","Without Sequence","41.98","",""
"23/04/2015 11:00:00 - 23/04/2015 12:00:00","BZN|CH","Without Sequence","42.49","",""
"23/04/2015 12:00:00 - 23/04/2015 13:00:00","BZN|CH","Without Sequence","41.98","",""
"23/04/2015 13:00:00 - 23/04/2015 14:00:00","BZN|CH","Without Sequence","41.93","",""
"23/04/2015 14:00:00 - 23/04/2015 15:00:00","BZN|CH","Without Sequence","41.64","",""
"23/04/2015 15:00:00 - 23/04/2015 16:00:00","BZN|CH","Without Sequence","38.98","",""
"23/04/2015 16:00:00 - 23/04/2015 17:00:00","BZN|CH","Without Sequence","37.89","",""
"23/04/2015 17:00:00 - 23/04/2015 18:00:00","BZN|CH","Without Sequence","38.95","",""
"23/04/2015 18:00:00 - 23/04/2015 19:00:00","BZN|CH","Without Sequence","43.94","",""
"23/04/2015 19:00:00 - 23/04/2015 20:00:00","BZN|CH","Without Sequence","49.01","",""
"23/04/2015 20:00:00 - 23/04/2015 21:00:00","BZN|CH","Without Sequence","48.54","",""
"23/04/2015 21:00:00 - 23/04/2015 22:00:00","BZN|CH","Without Sequence","47.01","",""
"23/04/2015 22:00:00 - 23/04/2015 23:00:00","BZN|CH","Without Sequence","42.19","",""
"23/04/2015 23:00:00 - 24/04/2015 00:00:00","BZN|CH","Without Sequence","38.00","",""
"24/04/2015 00:00:00 - 24/04/2015 01:00:00","BZN|CH","Without Sequence","30.34","",""
"24/04/2015 01:00:00 - 24/04/2015 02:00:00","BZN|CH","Without Sequence","29.22","",""
"24/04/2015 02:00:00 - 24/04/2015 03:00:00","BZN|CH","Without Sequence","28.44","",""
"24/04/2015 03:00:00 - 24/04/2015 04:00:00","BZN|CH","Without Sequence","26.67","",""
"24/04/2015 04:00:00 - 24/04/2015 05:00:00","BZN|CH","Without Sequence","27.08","",""
"24/04/2015 05:00:00 - 24/04/2015 06:00:00","BZN|CH","Without Sequence","30.71","",""
"24/04/2015 06:00:00 - 24/04/2015 07:00:00","BZN|CH","Without Sequence","39.63","",""
"24/04/2015 07:00:00 - 24/04/2015 08:00:00","BZN|CH","Without Sequence","45.46","",""
"24/04/2015 08:00:00 - 24/04/2015 09:00:00","BZN|CH","Without Sequence","45.38","",""
"24/04/2015 09:00:00 - 24/04/2015 10:00:00","BZN|CH","Without Sequence","40.47","",""
"24/04/2015 10:00:00 - 24/04/2015 11:00:00","BZN|CH","Without Sequence","39.94","",""
"24/04/2015 11:00:00 - 24/04/2015 12:00:00","BZN|CH","Without Sequence","39.96","",""
"24/04/2015 12:00:00 - 24/04/2015 13:00:00","BZN|CH","Without Sequence","39.45","",""
"24/04/2015 13:00:00 - 24/04/2015 14:00:00","BZN|CH","Without Sequence","39.03","",""
"24/04/2015 14:00:00 - 24/04/2015 15:00:00","BZN|CH","Without Sequence","36.02","",""
"24/04/2015 15:00:00 - 24/04/2015 16:00:00","BZN|CH","Without Sequence","30.90","",""
"24/04/2015 16:00:00 - 24/04/2015 17:00:00","BZN|CH","Without Sequence","29.07","",""
"24/04/2015 17:00:00 - 24/04/2015 18:00:00","BZN|CH","Without Sequence","31.93","",""
"24/04/2015 18:00:00 - 24/04/2015 19:00:00","BZN|CH","Without Sequence","37.87","",""
"24/04/2015 19:00:00 - 24/04/2015 20:00:00","BZN|CH","Without Sequence","40.47","",""
"24/04/2015 20:00:00 - 24/04/2015 21:00:00","BZN|CH","Without Sequence","42.07","",""
"24/04/2015 21:00:00 - 24/04/2015 22:00:00","BZN|CH","Without Sequence","40.18","",""
"24/04/2015 22:00:00 - 24/04/2015 23:00:00","BZN|CH","Without Sequence","37.64","",""
"24/04/2015 23:00:00 - 25/04/2015 00:00:00","BZN|CH","Without Sequence","30.28","",""
"25/04/2015 00:00:00 - 25/04/2015 01:00:00","BZN|CH","Without Sequence","29.12","",""
"25/04/2015 01:00:00 - 25/04/2015 02:00:00","BZN|CH","Without Sequence","25.93","",""
"25/04/2015 02:00:00 - 25/04/2015 03:00:00","BZN|CH","Without Sequence","24.86","",""
"25/04/2015 03:00:00 - 25/04/2015 04:00:00","BZN|CH","Without Sequence","24.09","",""
"25/04/2015 04:00:00 - 25/04/2015 05:00:00","BZN|CH","Without Sequence","23.96","",""
"25/04/2015 05:00:00 - 25/04/2015 06:00:00","BZN|CH","Without Sequence","24.18","",""
"25/04/2015 06:00:00 - 25/04/2015 07:00:00","BZN|CH","Without Sequence","25.06","",""
"25/04/2015 07:00:00 - 25/04/2015 08:00:00","BZN|CH","Without Sequence","26.04","",""
"25/04/2015 08:00:00 - 25/04/2015 09:00:00","BZN|CH","Without Sequence","29.92","",""
"25/04/2015 09:00:00 - 25/04/2015 10:00:00","BZN|CH","Without Sequence","30.41","",""
"25/04/2015 10:00:00 - 25/04/2015 11:00:00","BZN|CH","Without Sequence","30.97","",""
"25/04/2015 11:00:00 - 25/04/2015 12:00:00","BZN|CH","Without Sequence","30.38","",""
"25/04/2015 12:00:00 - 25/04/2015 13:00:00","BZN|CH","Without Sequence","30.46","",""
"25/04/2015 13:00:00 - 25/04/2015 14:00:00","BZN|CH","Without Sequence","28.20","",""
"25/04/2015 14:00:00 - 25/04/2015 15:00:00","BZN|CH","Without Sequence","26.14","",""
"25/04/2015 15:00:00 - 25/04/2015 16:00:00","BZN|CH","Without Sequence","27.01","",""
"25/04/2015 16:00:00 - 25/04/2015 17:00:00","BZN|CH","Without Sequence","27.08","",""
"25/04/2015 17:00:00 - 25/04/2015 18:00:00","BZN|CH","Without Sequence","30.08","",""
"25/04/2015 18:00:00 - 25/04/2015 19:00:00","BZN|CH","Without Sequence","32.23","",""
"25/04/2015 19:00:00 - 25/04/2015 20:00:00","BZN|CH","Without Sequence","35.48","",""
"25/04/2015 20:00:00 - 25/04/2015 21:00:00","BZN|CH","Without Sequence","36.80","",""
"25/04/2015 21:00:00 - 25/04/2015 22:00:00","BZN|CH","Without Sequence","35.57","",""
"25/04/2015 22:00:00 - 25/04/2015 23:00:00","BZN|CH","Without Sequence","33.23","",""
"25/04/2015 23:00:00 - 26/04/2015 00:00:00","BZN|CH","Without Sequence","29.04","",""
"26/04/2015 00:00:00 - 26/04/2015 01:00:00","BZN|CH","Without Sequence","25.16","",""
"26/04/2015 01:00:00 - 26/04/2015 02:00:00","BZN|CH","Without Sequence","22.45","",""
"26/04/2015 02:00:00 - 26/04/2015 03:00:00","BZN|CH","Without Sequence","21.82","",""
"26/04/2015 03:00:00 - 26/04/2015 04:00:00","BZN|CH","Without Sequence","18.08","",""
"26/04/2015 04:00:00 - 26/04/2015 05:00:00","BZN|CH","Without Sequence","17.34","",""
"26/04/2015 05:00:00 - 26/04/2015 06:00:00","BZN|CH","Without Sequence","17.78","",""
"26/04/2015 06:00:00 - 26/04/2015 07:00:00","BZN|CH","Without Sequence","17.93","",""
"26/04/2015 07:00:00 - 26/04/2015 08:00:00","BZN|CH","Without Sequence","19.67","",""
"26/04/2015 08:00:00 - 26/04/2015 09:00:00","BZN|CH","Without Sequence","23.29","",""
"26/04/2015 09:00:00 - 26/04/2015 10:00:00","BZN|CH","Without Sequence","24.04","",""
"26/04/2015 10:00:00 - 26/04/2015 11:00:00","BZN|CH","Without Sequence","23.57","",""
"26/04/2015 11:00:00 - 26/04/2015 12:00:00","BZN|CH","Without Sequence","24.13","",""
"26/04/2015 12:00:00 - 26/04/2015 13:00:00","BZN|CH","Without Sequence","23.90","",""
"26/04/2015 13:00:00 - 26/04/2015 14:00:00","BZN|CH","Without Sequence","20.00","",""
"26/04/2015 14:00:00 - 26/04/2015 15:00:00","BZN|CH","Without Sequence","16.28","",""
"26/04/2015 15:00:00 - 26/04/2015 16:00:00","BZN|CH","Without Sequence","16.01","",""
"26/04/2015 16:00:00 - 26/04/2015 17:00:00","BZN|CH","Without Sequence","18.79","",""
"26/04/2015 17:00:00 - 26/04/2015 18:00:00","BZN|CH","Without Sequence","24.62","",""
"26/04/2015 18:00:00 - 26/04/2015 19:00:00","BZN|CH","Without Sequence","27.10","",""
"26/04/2015 19:00:00 - 26/04/2015 20:00:00","BZN|CH","Without Sequence","31.39","",""
"26/04/2015 20:00:00 - 26/04/2015 21:00:00","BZN|CH","Without Sequence","32.86","",""
"26/04/2015 21:00:00 - 26/04/2015 22:00:00","BZN|CH","Without Sequence","32.73","",""
"26/04/2015 22:00:00 - 26/04/2015 23:00:00","BZN|CH","Without Sequence","31.17","",""
"26/04/2015 23:00:00 - 27/04/2015 00:00:00","BZN|CH","Without Sequence","26.46","",""
"27/04/2015 00:00:00 - 27/04/2015 01:00:00","BZN|CH","Without Sequence","25.61","",""
"27/04/2015 01:00:00 - 27/04/2015 02:00:00","BZN|CH","Without Sequence","23.36","",""
"27/04/2015 02:00:00 - 27/04/2015 03:00:00","BZN|CH","Without Sequence","18.72","",""
"27/04/2015 03:00:00 - 27/04/2015 04:00:00","BZN|CH","Without Sequence","16.90","",""
"27/04/2015 04:00:00 - 27/04/2015 05:00:00","BZN|CH","Without Sequence","16.55","",""
"27/04/2015 05:00:00 - 27/04/2015 06:00:00","BZN|CH","Without Sequence","22.30","",""
"27/04/2015 06:00:00 - 27/04/2015 07:00:00","BZN|CH","Without Sequence","32.19","",""
"27/04/2015 07:00:00 - 27/04/2015 08:00:00","BZN|CH","Without Sequence","40.16","",""
"27/04/2015 08:00:00 - 27/04/2015 09:00:00","BZN|CH","Without Sequence","44.38","",""
"27/04/2015 09:00:00 - 27/04/2015 10:00:00","BZN|CH","Without Sequence","42.03","",""
"27/04/2015 10:00:00 - 27/04/2015 11:00:00","BZN|CH","Without Sequence","42.38","",""
"27/04/2015 11:00:00 - 27/04/2015 12:00:00","BZN|CH","Without Sequence","40.49","",""
"27/04/2015 12:00:00 - 27/04/2015 13:00:00","BZN|CH","Without Sequence","40.28","",""
"27/04/2015 13:00:00 - 27/04/2015 14:00:00","BZN|CH","Without Sequence","40.09","",""
"27/04/2015 14:00:00 - 27/04/2015 15:00:00","BZN|CH","Without Sequence","37.21","",""
"27/04/2015 15:00:00 - 27/04/2015 16:00:00","BZN|CH","Without Sequence","34.72","",""
"27/04/2015 16:00:00 - 27/04/2015 17:00:00","BZN|CH","Without Sequence","32.56","",""
"27/04/2015 17:00:00 - 27/04/2015 18:00:00","BZN|CH","Without Sequence","34.36","",""
"27/04/2015 18:00:00 - 27/04/2015 19:00:00","BZN|CH","Without Sequence","38.28","",""
"27/04/2015 19:00:00 - 27/04/2015 20:00:00","BZN|CH","Without Sequence","42.04","",""
"27/04/2015 20:00:00 - 27/04/2015 21:00:00","BZN|CH","Without Sequence","41.06","",""
"27/04/2015 21:00:00 - 27/04/2015 22:00:00","BZN|CH","Without Sequence","39.61","",""
"27/04/2015 22:00:00 - 27/04/2015 23:00:00","BZN|CH","Without Sequence","36.03","",""
"27/04/2015 23:00:00 - 28/04/2015 00:00:00","BZN|CH","Without Sequence","31.88","",""
"28/04/2015 00:00:00 - 28/04/2015 01:00:00","BZN|CH","Without Sequence","32.01","",""
"28/04/2015 01:00:00 - 28/04/2015 02:00:00","BZN|CH","Without Sequence","28.29","",""
"28/04/2015 02:00:00 - 28/04/2015 03:00:00","BZN|CH","Without Sequence","26.57","",""
"28/04/2015 03:00:00 - 28/04/2015 04:00:00","BZN|CH","Without Sequence","25.09","",""
"28/04/2015 04:00:00 - 28/04/2015 05:00:00","BZN|CH","Without Sequence","25.70","",""
"28/04/2015 05:00:00 - 28/04/2015 06:00:00","BZN|CH","Without Sequence","30.01","",""
"28/04/2015 06:00:00 - 28/04/2015 07:00:00","BZN|CH","Without Sequence","41.34","",""
"28/04/2015 07:00:00 - 28/04/2015 08:00:00","BZN|CH","Without Sequence","49.28","",""
"28/04/2015 08:00:00 - 28/04/2015 09:00:00","BZN|CH","Without Sequence","53.54","",""
"28/04/2015 09:00:00 - 28/04/2015 10:00:00","BZN|CH","Without Sequence","51.97","",""
"28/04/2015 10:00:00 - 28/04/2015 11:00:00","BZN|CH","Without Sequence","51.20","",""
"28/04/2015 11:00:00 - 28/04/2015 12:00:00","BZN|CH","Without Sequence","47.56","",""
"28/04/2015 12:00:00 - 28/04/2015 13:00:00","BZN|CH","Without Sequence","43.56","",""
"28/04/2015 13:00:00 - 28/04/2015 14:00:00","BZN|CH","Without Sequence","43.70","",""
"28/04/2015 14:00:00 - 28/04/2015 15:00:00","BZN|CH","Without Sequence","42.98","",""
"28/04/2015 15:00:00 - 28/04/2015 16:00:00","BZN|CH","Without Sequence","40.78","",""
"28/04/2015 16:00:00 - 28/04/2015 17:00:00","BZN|CH","Without Sequence","39.96","",""
"28/04/2015 17:00:00 - 28/04/2015 18:00:00","BZN|CH","Without Sequence","38.98","",""
"28/04/2015 18:00:00 - 28/04/2015 19:00:00","BZN|CH","Without Sequence","42.38","",""
"28/04/2015 19:00:00 - 28/04/2015 20:00:00","BZN|CH","Without Sequence","44.09","",""
"28/04/2015 20:00:00 - 28/04/2015 21:00:00","BZN|CH","Without Sequence","43.96","",""
"28/04/2015 21:00:00 - 28/04/2015 22:00:00","BZN|CH","Without Sequence","42.14","",""
"28/04/2015 22:00:00 - 28/04/2015 23:00:00","BZN|CH","Without Sequence","41.44","",""
"28/04/2015 23:00:00 - 29/04/2015 00:00:00","BZN|CH","Without Sequence","38.07","",""
"29/04/2015 00:00:00 - 29/04/2015 01:00:00","BZN|CH","Without Sequence","35.06","",""
"29/04/2015 01:00:00 - 29/04/2015 02:00:00","BZN|CH","Without Sequence","28.68","",""
"29/04/2015 02:00:00 - 29/04/2015 03:00:00","BZN|CH","Without Sequence","28.49","",""
"29/04/2015 03:00:00 - 29/04/2015 04:00:00","BZN|CH","Without Sequence","26.09","",""
"29/04/2015 04:00:00 - 29/04/2015 05:00:00","BZN|CH","Without Sequence","26.05","",""
"29/04/2015 05:00:00 - 29/04/2015 06:00:00","BZN|CH","Without Sequence","29.52","",""
"29/04/2015 06:00:00 - 29/04/2015 07:00:00","BZN|CH","Without Sequence","38.84","",""
"29/04/2015 07:00:00 - 29/04/2015 08:00:00","BZN|CH","Without Sequence","48.09","",""
"29/04/2015 08:00:00 - 29/04/2015 09:00:00","BZN|CH","Without Sequence","49.93","",""
"29/04/2015 09:00:00 - 29/04/2015 10:00:00","BZN|CH","Without Sequence","47.66","",""
"29/04/2015 10:00:00 - 29/04/2015 11:00:00","BZN|CH","Without Sequence","46.35","",""
"29/04/2015 11:00:00 - 29/04/2015 12:00:00","BZN|CH","Without Sequence","42.30","",""
"29/04/2015 12:00:00 - 29/04/2015 13:00:00","BZN|CH","Without Sequence","42.98","",""
"29/04/2015 13:00:00 - 29/04/2015 14:00:00","BZN|CH","Without Sequence","42.90","",""
"29/04/2015 14:00:00 - 29/04/2015 15:00:00","BZN|CH","Without Sequence","41.59","",""
"29/04/2015 15:00:00 - 29/04/2015 16:00:00","BZN|CH","Without Sequence","38.98","",""
"29/04/2015 16:00:00 - 29/04/2015 17:00:00","BZN|CH","Without Sequence","38.16","",""
"29/04/2015 17:00:00 - 29/04/2015 18:00:00","BZN|CH","Without Sequence","37.80","",""
"29/04/2015 18:00:00 - 29/04/2015 19:00:00","BZN|CH","Without Sequence","41.08","",""
"29/04/2015 19:00:00 - 29/04/2015 20:00:00","BZN|CH","Without Sequence","45.19","",""
"29/04/2015 20:00:00 - 29/04/2015 21:00:00","BZN|CH","Without Sequence","44.81","",""
"29/04/2015 21:00:00 - 29/04/2015 22:00:00","BZN|CH","Without Sequence","42.98","",""
"29/04/2015 22:00:00 - 29/04/2015 23:00:00","BZN|CH","Without Sequence","43.68","",""
"29/04/2015 23:00:00 - 30/04/2015 00:00:00","BZN|CH","Without Sequence","40.26","",""
"30/04/2015 00:00:00 - 30/04/2015 01:00:00","BZN|CH","Without Sequence","32.65","",""
"30/04/2015 01:00:00 - 30/04/2015 02:00:00","BZN|CH","Without Sequence","26.30","",""
"30/04/2015 02:00:00 - 30/04/2015 03:00:00","BZN|CH","Without Sequence","25.76","",""
"30/04/2015 03:00:00 - 30/04/2015 04:00:00","BZN|CH","Without Sequence","24.96","",""
"30/04/2015 04:00:00 - 30/04/2015 05:00:00","BZN|CH","Without Sequence","25.05","",""
"30/04/2015 05:00:00 - 30/04/2015 06:00:00","BZN|CH","Without Sequence","27.53","",""
"30/04/2015 06:00:00 - 30/04/2015 07:00:00","BZN|CH","Without Sequence","36.52","",""
"30/04/2015 07:00:00 - 30/04/2015 08:00:00","BZN|CH","Without Sequence","46.45","",""
"30/04/2015 08:00:00 - 30/04/2015 09:00:00","BZN|CH","Without Sequence","50.97","",""
"30/04/2015 09:00:00 - 30/04/2015 10:00:00","BZN|CH","Without Sequence","50.05","",""
"30/04/2015 10:00:00 - 30/04/2015 11:00:00","BZN|CH","Without Sequence","47.98","",""
"30/04/2015 11:00:00 - 30/04/2015 12:00:00","BZN|CH","Without Sequence","46.02","",""
"30/04/2015 12:00:00 - 30/04/2015 13:00:00","BZN|CH","Without Sequence","42.92","",""
"30/04/2015 13:00:00 - 30/04/2015 14:00:00","BZN|CH","Without Sequence","41.43","",""
"30/04/2015 14:00:00 - 30/04/2015 15:00:00","BZN|CH","Without Sequence","39.38","",""
"30/04/2015 15:00:00 - 30/04/2015 16:00:00","BZN|CH","Without Sequence","38.09","",""
"30/04/2015 16:00:00 - 30/04/2015 17:00:00","BZN|CH","Without Sequence","38.01","",""
"30/04/2015 17:00:00 - 30/04/2015 18:00:00","BZN|CH","Without Sequence","35.54","",""
"30/04/2015 18:00:00 - 30/04/2015 19:00:00","BZN|CH","Without Sequence","38.88","",""
"30/04/2015 19:00:00 - 30/04/2015 20:00:00","BZN|CH","Without Sequence","40.92","",""
"30/04/2015 20:00:00 - 30/04/2015 21:00:00","BZN|CH","Without Sequence","40.92","",""
"30/04/2015 21:00:00 - 30/04/2015 22:00:00","BZN|CH","Without Sequence","38.54","",""
"30/04/2015 22:00:00 - 30/04/2015 23:00:00","BZN|CH","Without Sequence","34.64","",""
"30/04/2015 23:00:00 - 01/05/2015 00:00:00","BZN|CH","Without Sequence","28.22","",""
"01/05/2015 00:00:00 - 01/05/2015 01:00:00","BZN|CH","Without Sequence","26.09","",""
"01/05/2015 01:00:00 - 01/05/2015 02:00:00","BZN|CH","Without Sequence","24.00","",""
"01/05/2015 02:00:00 - 01/05/2015 03:00:00","BZN|CH","Without Sequence","22.03","",""
"01/05/2015 03:00:00 - 01/05/2015 04:00:00","BZN|CH","Without Sequence","21.08","",""
"01/05/2015 04:00:00 - 01/05/2015 05:00:00","BZN|CH","Without Sequence","19.58","",""
"01/05/2015 05:00:00 - 01/05/2015 06:00:00","BZN|CH","Without Sequence","19.50","",""
"01/05/2015 06:00:00 - 01/05/2015 07:00:00","BZN|CH","Without Sequence","18.01","",""
"01/05/2015 07:00:00 - 01/05/2015 08:00:00","BZN|CH","Without Sequence","18.82","",""
"01/05/2015 08:00:00 - 01/05/2015 09:00:00","BZN|CH","Without Sequence","21.59","",""
"01/05/2015 09:00:00 - 01/05/2015 10:00:00","BZN|CH","Without Sequence","24.05","",""
"01/05/2015 10:00:00 - 01/05/2015 11:00:00","BZN|CH","Without Sequence","24.71","",""
"01/05/2015 11:00:00 - 01/05/2015 12:00:00","BZN|CH","Without Sequence","25.64","",""
"01/05/2015 12:00:00 - 01/05/2015 13:00:00","BZN|CH","Without Sequence","24.49","",""
"01/05/2015 13:00:00 - 01/05/2015 14:00:00","BZN|CH","Without Sequence","22.70","",""
"01/05/2015 14:00:00 - 01/05/2015 15:00:00","BZN|CH","Without Sequence","21.37","",""
"01/05/2015 15:00:00 - 01/05/2015 16:00:00","BZN|CH","Without Sequence","19.58","",""
"01/05/2015 16:00:00 - 01/05/2015 17:00:00","BZN|CH","Without Sequence","21.41","",""
"01/05/2015 17:00:00 - 01/05/2015 18:00:00","BZN|CH","Without Sequence","22.62","",""
"01/05/2015 18:00:00 - 01/05/2015 19:00:00","BZN|CH","Without Sequence","24.45","",""
"01/05/2015 19:00:00 - 01/05/2015 20:00:00","BZN|CH","Without Sequence","25.55","",""
"01/05/2015 20:00:00 - 01/05/2015 21:00:00","BZN|CH","Without Sequence","27.96","",""
"01/05/2015 21:00:00 - 01/05/2015 22:00:00","BZN|CH","Without Sequence","28.11","",""
"01/05/2015 22:00:00 - 01/05/2015 23:00:00","BZN|CH","Without Sequence","28.56","",""
"01/05/2015 23:00:00 - 02/05/2015 00:00:00","BZN|CH","Without Sequence","26.79","",""
"02/05/2015 00:00:00 - 02/05/2015 01:00:00","BZN|CH","Without Sequence","25.52","",""
"02/05/2015 01:00:00 - 02/05/2015 02:00:00","BZN|CH","Without Sequence","24.39","",""
"02/05/2015 02:00:00 - 02/05/2015 03:00:00","BZN|CH","Without Sequence","23.01","",""
"02/05/2015 03:00:00 - 02/05/2015 04:00:00","BZN|CH","Without Sequence","21.66","",""
"02/05/2015 04:00:00 - 02/05/2015 05:00:00","BZN|CH","Without Sequence","20.68","",""
"02/05/2015 05:00:00 - 02/05/2015 06:00:00","BZN|CH","Without Sequence","21.29","",""
"02/05/2015 06:00:00 - 02/05/2015 07:00:00","BZN|CH","Without Sequence","24.66","",""
"02/05/2015 07:00:00 - 02/05/2015 08:00:00","BZN|CH","Without Sequence","26.66","",""
"02/05/2015 08:00:00 - 02/05/2015 09:00:00","BZN|CH","Without Sequence","27.99","",""
"02/05/2015 09:00:00 - 02/05/2015 10:00:00","BZN|CH","Without Sequence","26.30","",""
"02/05/2015 10:00:00 - 02/05/2015 11:00:00","BZN|CH","Without Sequence","26.34","",""
"02/05/2015 11:00:00 - 02/05/2015 12:00:00","BZN|CH","Without Sequence","25.22","",""
"02/05/2015 12:00:00 - 02/05/2015 13:00:00","BZN|CH","Without Sequence","24.24","",""
"02/05/2015 13:00:00 - 02/05/2015 14:00:00","BZN|CH","Without Sequence","22.81","",""
"02/05/2015 14:00:00 - 02/05/2015 15:00:00","BZN|CH","Without Sequence","21.06","",""
"02/05/2015 15:00:00 - 02/05/2015 16:00:00","BZN|CH","Without Sequence","20.16","",""
"02/05/2015 16:00:00 - 02/05/2015 17:00:00","BZN|CH","Without Sequence","21.52","",""
"02/05/2015 17:00:00 - 02/05/2015 18:00:00","BZN|CH","Without Sequence","24.90","",""
"02/05/2015 18:00:00 - 02/05/2015 19:00:00","BZN|CH","Without Sequence","29.05","",""
